ID_ENTREGA_CIDADE_REGIAO;ID_ENTREGA_CIDADE;BT_ATIVO;DT_CADASTRO;TX_NOME
EF58294F-E51B-4FD6-B9C9-22AB8411EAF4;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.763;Condomínio Amin Camargo
8254F31B-1874-4A85-9921-A334C681DB05;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.720;Condomínio Anhanguera
8D57AB42-79BC-4D93-A7CF-90462B95BF39;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.020;Condomínio Cidade Universitária
A6E6C8CE-E8F4-4AE5-859A-7F39CD979511;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.780;Condomínio das Esmeraldas
AE959AB5-CE96-4308-AD1B-0D63A2609105;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.380;Condomínio do Lago
B7B03185-1736-4A8F-AF7D-3E6131D70C4A;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.137;Condomínio dos Dourados
ED74205F-8804-413A-A084-001EEEAFE60B;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.150;Condomínio Eldorado
47B735D2-6265-49DA-9847-8D479DE548DB;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.137;Condomínio Ipanema
6750A36B-1C46-4254-BDE9-F8BEA68A0A36;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.717;Condomínio Jardim das Oliveiras
98AA30B8-95BA-4BD0-AEF5-452CFC5A02BE;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.773;Condomínio Marlene
9963DF91-9EA0-4201-A888-31338DBB8A0B;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.020;Condomínio Parque dos Cisnes
E08E8CDA-DD0F-4063-BAE6-63D4C5DF4810;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.820;Condomínio Privê das Oliveiras
95ED42A4-B974-401C-9D4D-54908D9425D4;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.133;Condomínio Privê dos Girassóis
A1676826-BC39-47F4-BA77-F563475BC975;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.783;Condomínio Residencial Parque Oeste
26AFB13A-E20C-452B-A3F0-8E1ABAB64050;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.773;Condomínio Residencial Santa Maria I
46C6A439-3CF8-4A37-BBD1-041B56B82E0B;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.780;Condomínio Residencial Santa Rita
6BBAEF88-2B68-416F-A9FD-90CB1BC3A53E;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.140;Condomínio Rio Branco
51F0769C-7A10-4DD5-940F-1DDE01CAFF5D;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.760;Condomínio Santa Rita
81F1AEE8-7C13-452A-8C04-DDEC9927A9E9;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.013;Condomínio Santa Rita - 7ª etapa
13A2C230-3DAE-4458-9EAD-90C77176B159;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.950;Condomínio Santa Rita 6ª Etapa
0C58619D-4A40-41F4-B4E1-59C3ED79704E;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.020;Condomínio Shangry-Lá
986EAF5C-0A7F-4696-A75E-E294FC8C2104;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.127;Conjunto Anhanguera
7B7D7B7C-22E9-4888-841A-77857F6F9754;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.830;Conjunto Cachoeira Dourada
A5F0E402-A042-4D48-BC0F-538123989C10;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.057;Conjunto Caiçara
113BA76A-1212-49DA-B08E-013B2C972C69;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.133;Conjunto Fabiana
BE075577-DE9F-42F2-AD2E-6346FCD6F068;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.240;Conjunto Guadalajara
E2240E2C-D74D-471A-8AF0-C85D4316ABF8;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.783;Conjunto Habitacional Baliza
D7A4695D-E0C6-43DB-A0A3-005928686B3D;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:01.743;Conjunto Habitacional Madre Germana II
6016831E-1D73-4805-9562-C779BE8789E3;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.283;Conjunto Morada Nova
5F3474E3-1298-4B53-8BDD-D4A42434140F;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.060;Conjunto Palmares
5A3D5027-7E19-48AD-AD1A-759D07D4DC16;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.000;Conjunto Parque dos Eucaliptos
65E552E3-8DAA-4560-94DD-3CD04785B042;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.597;Conjunto Primavera
9D6A4D04-E264-403C-AB23-931DC6F9C888;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.050;Conjunto Residencial Aruanã I
8972979E-62D5-45E8-85BC-4F90BBAF9110;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.050;Conjunto Residencial Aruanã II
98C3C276-7FAB-4A9D-8517-1E4A0B79C54E;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.050;Conjunto Residencial Aruanã III
